"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.526652833E0,1.908274740E-1,-7.023016363E-2,1.408271343E-1
1.536597833E0,1.273328215E-1,-7.705587894E-2,1.179564223E-1
1.546541833E0,7.539160550E-2,-6.915215403E-2,1.056222543E-1
1.556486833E0,5.122616887E-2,-4.931226745E-2,9.114190936E-2
1.566431833E0,4.828098416E-2,-4.554309696E-2,6.721100956E-2
1.576375833E0,3.547577932E-2,-7.389962673E-2,6.164408103E-2
1.586320833E0,2.368942648E-2,-1.129716635E-1,6.301108748E-2
1.596265833E0,2.966779843E-2,-1.476204097E-1,7.223962247E-2
1.606209833E0,3.648335859E-2,-1.619862914E-1,1.061235517E-1
1.616154833E0,3.980484977E-2,-1.654248834E-1,1.323733777E-1
1.626098833E0,3.929272667E-2,-1.450932473E-1,1.270952672E-1
1.636043833E0,2.979608066E-2,-9.733273834E-2,1.107075736E-1
1.645988833E0,1.941813622E-3,-5.314903706E-2,9.446868300E-2
1.655932833E0,-3.438859433E-2,-1.852301508E-2,6.845912337E-2
1.665877833E0,-5.441876128E-2,-2.684352919E-2,3.760746866E-2
1.675822833E0,-5.314036831E-2,-5.038275570E-2,2.057339065E-2
1.685766833E0,-3.535791114E-2,-5.356816202E-2,2.753675915E-2
1.695711833E0,-1.543470100E-2,-3.729913384E-2,3.667721152E-2
1.705656833E0,-6.742676720E-3,-2.206851542E-2,4.018885642E-2
1.715600833E0,-2.596564032E-2,-1.991987601E-2,4.973149300E-2
1.725545833E0,-5.750305951E-2,-5.695059896E-2,6.297726184E-2
1.735490833E0,-8.484660089E-2,-1.039960533E-1,6.957387179E-2
1.745434833E0,-8.345936239E-2,-1.443916857E-1,6.433863193E-2
1.755379833E0,-6.418599933E-2,-1.618676186E-1,5.403473973E-2
1.765324833E0,-2.676752023E-2,-1.274539828E-1,4.659120739E-2
1.775268833E0,2.536616661E-2,-5.726834387E-2,5.211767182E-2
1.785213833E0,7.042738050E-2,9.474198334E-3,6.683323532E-2
1.795158833E0,1.026937217E-1,5.678766966E-2,9.171854705E-2
1.805102833E0,1.152819470E-1,5.562466756E-2,1.143913716E-1
1.815047833E0,1.038181707E-1,3.277828172E-2,1.370565146E-1
1.824992833E0,7.735460252E-2,1.147432532E-2,1.504556835E-1
1.834936833E0,4.905045033E-2,-1.850906387E-2,1.568554938E-1
1.844881833E0,3.369679302E-2,-4.320668802E-2,1.558243036E-1
1.854825833E0,3.630288690E-2,-3.998942673E-2,1.480761915E-1
1.864770833E0,3.583709896E-2,-2.815939672E-2,1.522722691E-1
1.874715833E0,2.967657894E-2,-2.515441924E-2,1.614630520E-1
1.884659833E0,1.591495983E-2,-1.393585186E-2,1.583833694E-1
1.894604833E0,1.287825173E-3,-4.090479575E-3,1.420436203E-1
1.904549833E0,-1.229482889E-2,-1.620131778E-3,1.198166162E-1
1.914493833E0,-2.238476276E-2,3.151872661E-3,1.060129404E-1
1.924438833E0,-2.767779678E-2,-1.005854225E-3,9.171442688E-2
1.934383833E0,-2.925748006E-2,3.486413043E-3,8.633133024E-2
1.944327833E0,-2.019953914E-2,1.277977973E-2,8.204284310E-2
1.954272833E0,-2.250641584E-3,3.526030481E-2,8.501765877E-2
1.964217833E0,2.237587608E-2,5.514746159E-2,8.782064170E-2
1.974161833E0,4.198305309E-2,5.747416615E-2,9.272519499E-2
1.984106833E0,6.215010583E-2,5.319659784E-2,9.259762615E-2
1.994051833E0,7.302645594E-2,2.884055488E-2,1.045549065E-1
2.003995833E0,8.491240442E-2,1.953413896E-2,1.128112376E-1
2.013940833E0,1.059198603E-1,3.287920728E-2,1.209607646E-1
2.023885833E0,1.180162057E-1,6.262432039E-2,1.352568716E-1
2.033829833E0,1.099599749E-1,8.679272234E-2,1.466721594E-1
2.043774833E0,9.396795928E-2,8.436738700E-2,1.587226987E-1
2.053719833E0,5.818464607E-2,6.937465817E-2,1.716080308E-1
2.063663833E0,1.021525636E-2,6.123017520E-2,1.767061204E-1
2.073608833E0,-3.846899047E-2,5.149233714E-2,1.926654428E-1
2.083553833E0,-8.552145213E-2,4.880467802E-2,2.146591693E-1
2.093497833E0,-1.297027022E-1,3.208144009E-2,2.344821244E-1
2.103442833E0,-1.654737443E-1,4.394952208E-3,2.535114586E-1
2.113387833E0,-1.885934323E-1,-2.451036684E-2,2.800408602E-1
2.123331833E0,-1.979389936E-1,-4.502842575E-2,3.057520688E-1
2.133276833E0,-1.901696622E-1,-5.253316090E-2,3.171761930E-1
2.143220833E0,-1.686491817E-1,-3.439863026E-2,3.273212612E-1
2.153165833E0,-1.414130479E-1,2.638027817E-2,3.414906561E-1
2.163110833E0,-1.168307364E-1,9.260030836E-2,3.554099202E-1
2.173054833E0,-1.004538089E-1,1.229607314E-1,3.747459352E-1
2.182999833E0,-1.018024310E-1,1.214267537E-1,4.100397527E-1
2.192944833E0,-1.182686910E-1,1.030727848E-1,4.541296065E-1
2.202888833E0,-1.427769661E-1,1.098550558E-1,4.839279652E-1
2.212833833E0,-1.597671211E-1,1.335397959E-1,4.942374825E-1
2.222778833E0,-1.717718542E-1,1.454838067E-1,4.845113456E-1
2.232722833E0,-1.767152250E-1,1.591010839E-1,4.834820330E-1
2.242667833E0,-1.863452196E-1,1.604233384E-1,4.910925627E-1
2.252612833E0,-2.114924192E-1,1.524814814E-1,4.998255074E-1
2.262556833E0,-2.209716737E-1,1.419646591E-1,5.114634633E-1
2.272501833E0,-2.101192474E-1,1.388273239E-1,5.254167318E-1
2.282446833E0,-1.540336013E-1,1.475337297E-1,5.449196100E-1
2.292390833E0,-6.555017084E-2,1.575831324E-1,5.594655871E-1
2.302335833E0,3.059021011E-2,1.819079071E-1,5.644935966E-1
2.312280833E0,1.224455684E-1,2.077750266E-1,5.703054667E-1
2.322224833E0,1.792119145E-1,2.255337834E-1,5.713047385E-1
2.332169833E0,2.094752938E-1,2.361112535E-1,5.774167776E-1
2.342114833E0,2.043580264E-1,2.340747267E-1,5.787978768E-1
2.352061667E0,1.792036593E-1,2.244568020E-1,5.750309825E-1
2.362006667E0,1.424395144E-1,2.171232551E-1,5.750930309E-1
2.371951667E0,1.129656136E-1,2.355713546E-1,5.685086846E-1
2.381895667E0,7.749923319E-2,2.620013654E-1,5.603149533E-1
2.391840667E0,4.161854088E-2,2.711229026E-1,5.446702838E-1
2.401784667E0,2.839718014E-3,2.662527561E-1,5.484913588E-1
2.411729667E0,-3.376478329E-2,2.425318807E-1,5.643221736E-1
2.421674667E0,-7.505363226E-2,1.947553158E-1,5.737649798E-1
2.431618667E0,-1.137458384E-1,1.471765041E-1,5.692875385E-1
2.441563667E0,-1.257162094E-1,1.378533095E-1,5.760141611E-1
2.451508667E0,-1.107845679E-1,1.646025926E-1,5.971192718E-1
2.461452667E0,-9.784932435E-2,1.740717292E-1,6.155451536E-1
2.471397667E0,-8.875650167E-2,1.572848409E-1,6.371415854E-1
2.481342667E0,-6.441840529E-2,1.476801485E-1,6.600098610E-1
2.491286667E0,-3.170946240E-2,1.394128054E-1,6.684411764E-1
2.501231667E0,-1.725276001E-2,1.179732978E-1,6.537860632E-1
2.511176667E0,-3.720915318E-2,9.851047397E-2,6.097072959E-1
2.521120667E0,-6.808663905E-2,6.474932283E-2,5.599604845E-1
2.531065667E0,-1.103913859E-1,6.250641774E-3,5.117625594E-1
2.541010667E0,-1.271807551E-1,-7.559681684E-2,4.850896895E-1
2.550954667E0,-1.265717894E-1,-1.266847402E-1,4.855782688E-1
2.560899667E0,-1.073703989E-1,-1.494220048E-1,4.988070130E-1
2.570844667E0,-8.327776194E-2,-1.461383104E-1,5.117252469E-1
2.580788667E0,-6.082624942E-2,-1.395326108E-1,5.089875460E-1
2.590733667E0,-5.257178843E-2,-1.610927731E-1,4.798693955E-1
2.600678667E0,-5.200746655E-2,-1.658822000E-1,4.441513419E-1
2.610622667E0,-2.733699046E-2,-1.312539726E-1,4.273052812E-1
2.620567667E0,1.451964676E-2,-5.786205083E-2,4.281907976E-1
2.630512667E0,4.879594594E-2,-3.479033709E-3,4.453388453E-1
2.640456667E0,6.180788577E-2,9.681243449E-3,4.766746759E-1
2.650401667E0,6.232960895E-2,-1.178408600E-2,5.101292133E-1
2.660345667E0,5.000023916E-2,-4.113931209E-2,5.239667296E-1
2.670290667E0,3.669269010E-2,-6.582601368E-2,5.185874104E-1
2.680235667E0,2.083542757E-2,-5.815264955E-2,5.243555903E-1
2.690179667E0,1.083275303E-2,-1.730701141E-2,5.288346410E-1
2.700124667E0,-6.244766526E-3,1.587038301E-2,5.241410732E-1
