"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.218367542E0,-1.355293225E-2,-3.185718770E-1,2.174883556E-1
1.228311542E0,-2.275020048E-1,-3.566966001E-1,-9.821041882E-2
1.238256542E0,-4.329974653E-1,-5.740611044E-1,-1.137529027E-1
1.248201542E0,-5.528140403E-1,-3.390306998E-1,2.777930295E-1
1.258145542E0,-6.312929568E-1,7.367813319E-2,6.146803594E-1
1.268090542E0,-4.560314385E-1,3.391432587E-2,4.610476917E-1
1.278035542E0,-2.146340373E-1,-1.449005089E-1,1.495565736E-1
1.287979542E0,-1.217662925E-1,-1.550662588E-1,-8.045184016E-2
1.297924542E0,-4.360133495E-2,-1.077895468E-1,-1.543413502E-1
1.307869542E0,1.193618444E-1,-7.641068324E-3,-1.728138739E-1
1.317813542E0,2.833629410E-1,1.201186202E-1,-1.130190772E-1
1.327758542E0,4.379552098E-1,1.522251698E-1,-1.383556473E-1
1.337703542E0,5.687119619E-1,1.891705095E-1,-2.407772309E-1
1.347647542E0,5.801814947E-1,1.407800491E-1,-4.025346047E-1
1.357593833E0,3.885794936E-1,1.510050020E-1,-5.364849597E-1
1.367537833E0,8.846062526E-2,1.376052303E-1,-5.877252799E-1
1.377482833E0,-1.843944307E-1,1.791418768E-2,-5.790228689E-1
1.387427833E0,-4.245332918E-1,-1.013661611E-1,-3.357617408E-1
1.397371833E0,-6.030086591E-1,-2.431076387E-1,-9.041081786E-2
1.407316833E0,-5.732628498E-1,-3.363495322E-1,7.650964737E-2
1.417261833E0,-4.708963032E-1,-4.033036597E-1,1.123905015E-1
1.427205833E0,-4.449007519E-1,-3.950662485E-1,2.352393329E-1
1.437150833E0,-3.892862758E-1,-3.265438246E-1,2.337553096E-1
1.447095833E0,-3.410341752E-1,-3.238516203E-1,1.722519565E-1
1.457039833E0,-3.536385794E-1,-3.276835931E-1,2.402825564E-1
1.466984833E0,-3.358267911E-1,-1.967160489E-1,3.099591476E-1
1.476929833E0,-2.770964069E-1,-1.197512689E-1,1.921892077E-1
1.486873833E0,-1.721881487E-1,-1.359231325E-1,2.405544519E-3
1.496818833E0,-6.526545167E-2,-1.289894311E-1,-1.910016382E-1
1.506763833E0,6.035642177E-2,-1.282363828E-1,-3.813273382E-1
1.516707833E0,1.882138319E-1,-1.302241438E-1,-5.466000581E-1
1.526652833E0,3.147112528E-1,-1.356159344E-1,-6.045828027E-1
1.536597833E0,3.575187186E-1,-1.393468966E-1,-5.687434638E-1
1.546541833E0,2.975960872E-1,-1.329797903E-1,-4.444796062E-1
1.556486833E0,2.654135238E-1,-1.494457689E-1,-3.668917322E-1
1.566431833E0,2.286547834E-1,-1.734444230E-1,-2.907025123E-1
1.576375833E0,1.256051358E-1,-9.936224721E-2,-1.760959160E-1
1.586320833E0,-9.492223710E-4,-1.348214440E-2,-1.178722662E-1
1.596265833E0,-5.853486791E-2,-6.844831042E-2,-1.283955002E-1
1.606209833E0,-1.477459833E-1,-2.940879039E-2,-6.367267013E-2
1.616154833E0,-2.531347364E-1,3.167948350E-2,3.718127489E-2
1.626098833E0,-1.638283845E-1,-2.345598865E-1,2.506350517E-2
1.636043833E0,-1.796045378E-3,-3.156707078E-1,-2.500912607E-2
1.645988833E0,1.021062724E-1,-2.743911195E-1,-8.976236165E-2
1.655932833E0,1.115751804E-1,-1.073670124E-1,-1.532046515E-1
1.665877833E0,6.646003783E-2,-4.358763054E-2,-1.597126025E-1
1.675822833E0,9.644543678E-3,-1.244683640E-1,-1.262419707E-1
1.685766833E0,-7.040749311E-2,-1.813662308E-1,-1.530613947E-1
1.695711833E0,-1.150138548E-1,-2.360816243E-1,-1.783237052E-1
1.705656833E0,-1.191262016E-1,-2.802541226E-1,-2.004524928E-1
1.715600833E0,-1.460850817E-1,-2.492279193E-1,-2.246365768E-1
1.725545833E0,-1.550258399E-1,-1.692165206E-1,-1.961471879E-1
1.735490833E0,-1.220474705E-1,-1.384852362E-1,-1.360401499E-1
1.745434833E0,-5.914085872E-2,-1.731136899E-1,-5.340086639E-2
1.755379833E0,-1.445943341E-2,-2.031165574E-1,7.160734177E-2
1.765324833E0,-4.034191422E-2,-2.375420395E-1,1.476047730E-1
1.775268833E0,-6.474563420E-2,-2.652665395E-1,1.954320735E-1
1.785213833E0,-1.580722392E-1,-3.223707399E-1,2.391043425E-1
1.795158833E0,-2.663274436E-1,-3.106817903E-1,1.424317414E-1
1.805102833E0,-2.846037202E-1,-2.461411741E-1,3.380626202E-2
1.815047833E0,-2.546820559E-1,-2.199988577E-1,-7.146934748E-2
1.824992833E0,-1.998192394E-1,-1.698746248E-1,-2.117879051E-1
1.834936833E0,-1.181752981E-1,-9.091718674E-2,-2.435271764E-1
1.844881833E0,-4.832679883E-2,3.995110095E-3,-1.850444949E-1
1.854825833E0,4.311627187E-2,5.760983840E-2,-1.822308147E-1
1.864770833E0,7.689750049E-2,6.561496899E-2,-1.973090297E-1
1.874715833E0,6.627088040E-2,9.924786106E-2,-1.603136963E-1
1.884659833E0,8.643599030E-2,7.039345980E-2,-1.755030084E-1
1.894604833E0,1.530051883E-1,4.668533921E-2,-2.045806271E-1
1.904549833E0,1.739999085E-1,-5.070997775E-4,-1.522030234E-1
1.914493833E0,1.273933240E-1,-3.192725927E-3,-8.465774238E-2
1.924438833E0,6.051013045E-2,9.523360133E-3,-3.709473610E-3
1.934383833E0,2.310161814E-3,8.931621909E-5,4.582287490E-2
1.944327833E0,-3.650033008E-2,-2.874505833E-2,9.791805804E-2
1.954272833E0,-5.381331436E-2,-2.676387548E-2,1.499231941E-1
1.964217833E0,-8.906636026E-2,-2.275195464E-2,1.512961203E-1
1.974161833E0,-8.408102419E-2,-3.302989796E-2,1.532397348E-1
1.984106833E0,-1.232670535E-1,-8.197562456E-2,1.158438671E-1
1.994051833E0,-1.759568985E-1,-1.106329747E-1,7.682013452E-2
2.003995833E0,-1.699159938E-1,-1.402697334E-1,6.186003327E-2
2.013940833E0,-1.364073916E-1,-2.242529994E-1,-4.273437560E-2
2.023885833E0,-1.068588162E-1,-2.438443878E-1,-1.661726063E-1
2.033829833E0,-1.212599967E-1,-2.522173083E-1,-2.796465969E-1
2.043774833E0,-1.793121039E-1,-2.736859453E-1,-3.749129426E-1
2.053719833E0,-2.209779739E-1,-2.866831362E-1,-4.518628854E-1
2.063663833E0,-2.574235229E-1,-3.186168274E-1,-5.492658037E-1
2.073608833E0,-2.925446776E-1,-3.180639732E-1,-5.360084116E-1
2.083553833E0,-3.369547190E-1,-2.909247065E-1,-5.088767463E-1
2.093497833E0,-3.725009662E-1,-2.728155872E-1,-4.707429600E-1
2.103442833E0,-3.965473482E-1,-2.420599638E-1,-3.279942995E-1
2.113387833E0,-4.336153333E-1,-2.209732962E-1,-2.154716510E-1
2.123331833E0,-4.695588257E-1,-2.012675947E-1,-1.009036463E-1
2.133276833E0,-4.988293295E-1,-2.194623756E-1,1.406021476E-2
2.143220833E0,-4.953227177E-1,-2.237554014E-1,1.236124778E-1
2.153165833E0,-4.451034310E-1,-1.985582142E-1,1.367271978E-1
2.163110833E0,-3.844166050E-1,-1.720575365E-1,9.501023769E-2
2.173054833E0,-4.061732539E-1,-1.100738347E-1,1.804684639E-1
2.182999833E0,-5.206846867E-1,-8.711547330E-3,2.202657831E-1
2.192944833E0,-6.094355531E-1,8.237813227E-2,2.235799849E-1
2.202888833E0,-5.927129549E-1,1.298233902E-1,2.034842741E-1
2.212833833E0,-4.600324689E-1,1.258887988E-1,1.268956894E-1
2.222778833E0,-3.334006351E-1,9.094825007E-2,1.996759826E-1
2.232722833E0,-2.853382766E-1,1.512398408E-1,1.937930989E-1
2.242667833E0,-2.891462027E-1,2.529153197E-1,2.072937351E-1
2.252612833E0,-2.973583978E-1,3.475623722E-1,2.901552129E-1
2.262556833E0,-2.525034564E-1,3.717425092E-1,4.056967789E-1
2.272501833E0,-2.177039717E-1,3.405764113E-1,5.071950871E-1
2.282446833E0,-2.282596578E-1,2.888593237E-1,5.866277575E-1
2.292390833E0,-1.605820835E-1,1.964619143E-1,6.012036967E-1
2.302335833E0,-1.541799670E-1,4.794782616E-2,4.976442450E-1
2.312280833E0,-1.800629595E-1,-5.113258526E-2,3.518486005E-1
2.322224833E0,-1.899675581E-1,-1.313082176E-1,1.700726992E-1
2.332169833E0,-2.004140474E-1,-2.016826008E-1,-8.690131903E-3
2.342114833E0,-2.012177472E-1,-2.606732592E-1,-1.980557191E-1
2.352061667E0,-2.245843904E-1,-3.573940267E-1,-3.607615113E-1
2.362006667E0,-2.775001571E-1,-3.921913187E-1,-4.454309481E-1
2.371951667E0,-2.551214741E-1,-4.306326686E-1,-5.591891134E-1
2.381895667E0,-2.068857457E-1,-5.174467179E-1,-6.839143163E-1
2.391840667E0,-2.020031744E-1,-5.947482245E-1,-7.650982279E-1
2.401784667E0,-2.694275643E-1,-5.781915410E-1,-7.885221738E-1
2.411729667E0,-3.237635466E-1,-4.457352957E-1,-8.229154962E-1
2.421674667E0,-3.139068952E-1,-3.837432615E-1,-7.571571243E-1
2.431618667E0,-3.043379268E-1,-3.735597508E-1,-5.072067815E-1
2.441563667E0,-2.919036765E-1,-3.078266680E-1,-3.417229772E-1
2.451508667E0,-2.829518086E-1,-2.783192059E-1,-2.575838828E-1
2.461452667E0,-2.711003065E-1,-2.970647945E-1,-1.459511805E-1
2.471397667E0,-1.951900718E-1,-2.984498537E-1,-3.402377844E-2
2.481342667E0,-1.002563596E-1,-3.380870323E-1,-7.067178726E-2
2.491286667E0,1.915226251E-2,-4.236544552E-1,-1.939731932E-1
2.501231667E0,1.642045797E-1,-4.659203227E-1,-2.279390842E-1
2.511176667E0,2.692215961E-1,-4.957485046E-1,-3.388022929E-1
2.521120667E0,2.765580976E-1,-4.416774742E-1,-3.360277891E-1
2.531065667E0,2.550306961E-1,-3.672927050E-1,-2.221842545E-1
2.541010667E0,1.888121483E-1,-3.105164603E-1,-1.233844364E-1
2.550954667E0,8.694020301E-2,-2.495496623E-1,-5.812950969E-2
2.560899667E0,4.541795522E-2,-2.107071935E-1,-3.878575087E-2
2.570844667E0,5.399991363E-2,-2.260282141E-1,6.108644664E-2
2.580788667E0,1.221525742E-1,-2.792543218E-1,7.398365021E-2
2.590733667E0,1.808248517E-1,-3.276456593E-1,1.660182399E-1
2.600678667E0,2.146195655E-1,-2.801653911E-1,1.995742410E-1
2.610622667E0,1.777154486E-1,-2.067125219E-1,1.653475642E-1
2.620567667E0,1.435791112E-1,-2.520793140E-1,1.251345080E-1
2.630512667E0,1.196989363E-1,-3.494651292E-1,6.256696165E-2
2.640456667E0,9.646699838E-2,-3.571358722E-1,6.721959114E-3
2.650401667E0,9.074330516E-2,-3.593475084E-1,-7.037474871E-2
2.660345667E0,8.105907351E-2,-3.980883819E-1,-1.550219661E-1
2.670290667E0,1.105571070E-1,-4.750427100E-1,-1.295789766E-1
2.680235667E0,1.563562276E-1,-5.187716970E-1,-1.057556659E-1
2.690179667E0,2.644942684E-1,-5.480288252E-1,-1.250169790E-1
2.700124667E0,4.299593617E-1,-5.799446824E-1,-1.101019013E-1
2.710069667E0,5.523981571E-1,-5.796062748E-1,-8.366313100E-2
2.720013667E0,5.706683671E-1,-5.281956545E-1,-1.098229891E-1
2.729958667E0,5.758283888E-1,-4.992830734E-1,-1.168162590E-1
2.739903667E0,6.077614953E-1,-4.893726276E-1,-7.157576680E-2
2.749847667E0,6.779808542E-1,-4.805358768E-1,-4.703266382E-2
2.759792667E0,6.973892979E-1,-4.751401392E-1,-7.485605478E-3
2.769737667E0,7.024129332E-1,-4.621559583E-1,1.290188134E-2
2.779681667E0,6.698690850E-1,-4.566812103E-1,7.363106310E-2
2.789626667E0,5.991981018E-1,-4.260210427E-1,1.479000574E-1
2.799571667E0,5.642583570E-1,-3.769724782E-1,1.725267756E-1
2.809515667E0,5.697512314E-1,-3.429280152E-1,1.570521194E-1
2.819460667E0,6.277768068E-1,-2.925546909E-1,1.589027631E-1
2.829405667E0,7.300970873E-1,-2.242973652E-1,1.992678469E-1
2.839349667E0,8.127688229E-1,-1.933522920E-1,1.711865938E-1
2.849294667E0,8.326047711E-1,-1.759499549E-1,1.635969079E-1
2.859239667E0,7.638589836E-1,-1.258901875E-1,7.890466690E-2
2.869183667E0,6.928745896E-1,-8.449621305E-2,-1.104071259E-2
2.879128667E0,6.311477266E-1,-9.392543301E-2,-8.373622119E-2
2.889073667E0,6.161199439E-1,-1.333945041E-1,-2.149652821E-1
2.899017667E0,5.913356432E-1,-2.043188180E-1,-2.611313885E-1
2.908962667E0,5.632130210E-1,-2.319204533E-1,-2.597836053E-1
2.918907667E0,5.428088696E-1,-2.272046008E-1,-2.902739114E-1
2.928851667E0,5.644403516E-1,-2.693834909E-1,-3.130137330E-1
2.938796667E0,5.379655478E-1,-3.105193839E-1,-3.296104699E-1
2.948741667E0,4.423022492E-1,-2.838459210E-1,-3.187364030E-1
2.958685667E0,3.440039760E-1,-2.086688541E-1,-2.778403920E-1
2.968630667E0,3.528341487E-1,-1.559909228E-1,-1.602663338E-1
2.978575667E0,3.931083083E-1,-1.012555026E-1,-3.737832606E-2
2.988519667E0,4.114017610E-1,-3.869738482E-2,1.530625641E-2
2.998464667E0,4.247369210E-1,-4.656050116E-2,7.145297527E-3
3.008408667E0,4.402415442E-1,-5.910460599E-2,-2.128152609E-2
3.018353667E0,4.496853092E-1,-7.361746833E-2,-7.859184086E-2
3.028298667E0,3.959034967E-1,-1.399316181E-1,-1.259642279E-1
3.038242667E0,2.928647395E-1,-1.756254344E-1,-1.245000851E-1
3.048187667E0,1.172738037E-1,-1.902863775E-1,-1.411868691E-1
3.058132667E0,-4.309529498E-2,-2.140604986E-1,-1.718081528E-1
3.068076667E0,-1.463080068E-1,-2.213565812E-1,-1.383667570E-1
3.078021667E0,-1.722177503E-1,-2.241931386E-1,-5.916797519E-2
3.087966667E0,-1.286461996E-1,-2.286837271E-1,2.269830644E-2
3.097910667E0,-6.546308756E-2,-1.961940388E-1,1.242240965E-1
3.107855667E0,-4.357988298E-2,-1.545608401E-1,1.572269511E-1
3.117800667E0,-4.019229859E-2,-1.372219453E-1,1.091166455E-1
3.127744667E0,-2.043148711E-2,-1.275640261E-1,2.169024646E-2
3.137689667E0,-4.722101726E-2,-1.463249637E-1,-6.013276577E-2
3.147634667E0,-1.006488539E-1,-1.406748723E-1,-1.303946632E-1
3.157578667E0,-1.484713304E-1,-1.177654814E-1,-1.833306760E-1
3.167523667E0,-1.336638415E-1,-1.248898751E-1,-1.889861029E-1
3.177468667E0,-1.603185202E-1,-1.258263798E-1,-1.740990919E-1
3.187412667E0,-1.788237883E-1,-1.180516295E-1,-1.821273190E-1
3.197357667E0,-2.300116298E-1,-1.175645564E-1,-1.839791322E-1
3.207302667E0,-2.790882609E-1,-7.513328589E-2,-2.489650869E-1
3.217246667E0,-2.570279588E-1,-6.269764692E-2,-3.050638586E-1
3.227191667E0,-2.169523121E-1,-3.760505185E-2,-3.086645740E-1
3.237136667E0,-1.895693627E-1,4.252453364E-2,-3.144322675E-1
3.247080667E0,-1.731163211E-1,8.228443064E-2,-2.679287767E-1
3.257025667E0,-1.919237441E-1,8.153693721E-2,-1.618485904E-1
3.266969667E0,-2.119351818E-1,6.515771672E-2,-1.777845919E-2
3.276914667E0,-2.288973697E-1,1.694230735E-2,1.447595179E-1
3.286859667E0,-2.393661515E-1,-4.939976290E-2,2.971777189E-1
3.296803667E0,-1.932870224E-1,-8.181497231E-2,2.953416932E-1
3.306748667E0,-1.406843010E-1,-1.409943496E-1,2.776895338E-1
3.316693667E0,-1.640984528E-1,-1.666586562E-1,2.463525510E-1
3.326637667E0,-1.737359798E-1,-1.103088927E-1,1.437239760E-1
3.336582667E0,-1.596153194E-1,-7.904858150E-2,2.859113038E-2
3.346527667E0,-1.380034988E-1,-9.284011669E-2,-5.240917861E-2
3.356468292E0,-1.097888560E-1,-7.579716414E-2,-1.476217300E-1
3.366413292E0,-4.045717746E-2,-8.578508556E-2,-2.522406971E-1
3.376358292E0,4.406622514E-2,-1.224361642E-1,-2.617459309E-1
3.386302292E0,1.067143169E-1,-1.364389300E-1,-2.717031544E-1
3.396247292E0,1.083122879E-1,-1.468580105E-1,-3.239486110E-1
3.406192292E0,1.836968578E-2,-1.618258593E-1,-3.007737565E-1
3.416136292E0,-5.118769526E-2,-2.180537814E-1,-2.460590208E-1
3.426081292E0,-1.050526844E-1,-2.720303062E-1,-2.207130951E-1
3.436026292E0,-1.719474627E-1,-3.199386636E-1,-1.615889740E-1
3.445970292E0,-2.395585249E-1,-3.340289184E-1,-1.007679909E-1
3.455915292E0,-2.566908668E-1,-3.365502378E-1,-5.912353635E-2
3.465860292E0,-2.533192892E-1,-3.138503234E-1,-5.631687284E-2
3.475804292E0,-2.528426680E-1,-2.927097883E-1,-7.424911380E-2
3.485749292E0,-2.295228756E-1,-2.404182118E-1,-7.678680539E-2
3.495694292E0,-2.000728624E-1,-1.431446631E-1,-1.028115928E-1
3.505638292E0,-1.751030588E-1,-7.541307516E-2,-1.454968518E-1
3.515583292E0,-1.553616162E-1,-6.043850206E-2,-1.888247198E-1
3.525528292E0,-2.192835239E-1,-2.966833368E-2,-1.918652719E-1
3.535472292E0,-3.012074006E-1,2.254825227E-2,-1.634612525E-1
3.545417292E0,-3.261367853E-1,6.152367219E-2,-1.026999110E-1
3.555361292E0,-2.790078617E-1,4.209023170E-2,-3.818875015E-2
3.565306292E0,-2.038553531E-1,-1.490016729E-2,-1.991327763E-2
3.575251292E0,-1.748875889E-1,-5.758557245E-2,-2.000566363E-2
3.585195292E0,-1.721313576E-1,-5.088320151E-2,-5.376222432E-2
3.595140292E0,-1.786377738E-1,-6.005090475E-2,-1.157877338E-1
3.605085292E0,-1.374983724E-1,-8.959732398E-2,-1.337041873E-1
3.615029292E0,-9.838203460E-2,-7.997214921E-2,-1.190919954E-1
3.624974292E0,-4.113063052E-2,-6.386021957E-2,-1.163321096E-1
3.634919292E0,-9.487107396E-4,-4.801945455E-2,-7.631142676E-2
3.644863292E0,4.630117714E-3,-2.737776004E-2,-2.528394520E-2
3.654808292E0,4.793255031E-4,-1.380754195E-2,-5.316873193E-3
3.664753292E0,1.868799359E-2,-2.372946292E-2,-2.040678263E-2
3.674697292E0,1.011656016E-2,-3.116646342E-2,-3.191351831E-2
3.684642292E0,-4.803780019E-3,-2.355740860E-2,-7.996008933E-2
3.694587292E0,2.451766759E-2,-2.233446345E-2,-1.077150679E-1
3.704531292E0,4.830143653E-2,-1.355077609E-2,-1.004604274E-1
3.714476292E0,6.879526958E-2,1.113236770E-3,-1.221951127E-1
